6842 64 70	100 110
1 1 1.500000  -1.632721 45.231456 0  -0.457663 -0.414170 0  1.786412 0 0.662697  1.092225e-05
0 1 1.000000  -45.220534 -5.574914 0  6.526426 -28.983621 0  1.436991 0 0.384830  6.419730e-06
0 1 1.000000  24.684644 40.607764 0  1.559586 -8.553416 0  4.666707 0 0.327709  7.571607e-06
0 1 1.000000  -26.744260 -3.456787 0  1.754656 -26.634212 0  1.742590 0 0.377008  5.929268e-06
1 1 1.500000  18.843119 -12.205331 0  -0.266477 -39.040377 0  1.766106 0 0.750274  6.004320e-06
0 1 1.000000  -16.337994 14.641428 0  -0.815340 -20.041560 0  1.402987 0 0.505310  6.923255e-06
0 1 1.000000  -22.663288 -17.967104 0  -0.222985 -21.624142 0  1.172094 0 0.312401  5.481138e-06
0 1 1.000000  -26.525641 -22.942375 0  -4.540580 -47.119522 0  1.317828 0 0.725996  5.372303e-06
1 1 1.500000  -27.875853 -37.175694 0  -0.010739 -61.818968 0  -0.810513 0 0.765401  1.921838e-06
0 1 1.000000  -32.078696 -44.557371 0  7.845117 -74.240511 0  1.236045 0 0.199609  4.164207e-07
0 1 1.000000  -25.043350 24.070014 0  1.786352 -10.653063 0  1.584930 0 0.354676  5.346513e-06
0 1 1.000000  -46.435086 38.667726 0  2.118965 -5.094494 0  1.976849 0 0.337570  7.731989e-06
1 1 1.500000  6.397192 -5.135848 0  0.717137 -35.200484 0  1.507777 0 0.838924  7.170933e-06
0 1 1.000000  19.346799 29.894010 0  -0.218241 -16.159512 0  0.517098 0 0.416159  9.007956e-06
1 1 1.500000  13.595877 20.599034 0  -0.941407 -20.057017 0  0.916115 0 0.486627  1.015442e-05
1 1 1.500000  4.051550 14.938482 0  -0.123965 -21.454437 0  2.216231 0 0.738635  1.142411e-05
0 1 1.000000  -26.295188 27.479747 0  1.952056 -6.224110 0  1.768932 0 0.302450  7.371165e-06
1 1 1.500000  -38.448767 42.130179 0  1.597056 -3.265154 0  -1.134100 0 0.601644  1.237573e-05
0 1 1.000000  -4.142941 -16.147246 0  -2.362107 -46.445467 0  4.542047 0 0.506867  4.981803e-06
0 1 1.000000  -34.615279 -8.554296 0  1.011803 -36.759582 0  1.735511 0 0.607624  7.564449e-06
1 1 1.500000  -8.802093 -6.410289 0  -2.195821 -41.205633 0  1.915368 0 0.334294  5.605143e-06
0 1 1.000000  -14.769733 15.925823 0  -0.946690 -19.367135 0  1.637483 0 0.796521  8.695698e-06
1 1 1.500000  -11.284730 48.022749 0  -1.241544 -0.796288 0  -1.646862 0 0.938396  1.286430e-05
0 1 1.000000  -48.288108 -35.102562 0  -0.724126 -40.078061 0  -0.409094 0 0.465419  2.775884e-06
