5958 64 70	100 110
541 1 1.000000  35.153885 -33.821594 0  3.824279 -42.682932 0  1.392636 0 0.930359  2.695071e-06
1308 1 1.000000  -32.172670 21.659400 0  -2.304045 -17.643211 0  0.944443 0 0.343819  4.973518e-06
1890 1 1.000000  -10.850666 24.142262 0  -0.343740 -9.283349 0  -1.322641 0 0.693296  6.396616e-06
1890 1 1.000000  -15.040358 44.799965 0  -0.732373 -3.580665 0  -1.483504 0 0.260609  3.164038e-06
1308 1 1.000000  -42.152878 -44.382613 0  2.739034 -48.206533 0  1.704372 0 0.460617  5.637556e-07
1308 1 1.000000  -43.176417 12.226787 0  0.248870 -15.256759 0  1.486121 0 0.482735  3.499063e-06
1890 1 1.000000  -8.428094 44.449151 0  3.099449 -3.533391 0  -1.075096 0 0.619721  7.470845e-06
541 1 1.000000  45.462041 -21.878144 0  0.913181 -35.156627 0  -1.578268 0 1.052277  4.357238e-06
1890 1 1.000000  -10.948101 -24.776478 0  -1.599684 -36.810952 0  5.279807 0 0.359015  3.131670e-06
1890 1 1.000000  -0.948998 42.516767 0  1.794560 -3.318290 0  2.864019 0 0.338966  5.658509e-06
1308 1 1.000000  -43.261354 8.975252 0  -2.131629 -13.915255 0  4.783634 0 0.016159  2.899646e-06
1308 1 1.000000  -32.591054 32.424709 0  1.719249 -6.304309 0  -2.375867 0 0.396973  5.631474e-06
1890 1 1.000000  2.629234 -25.845541 0  -1.661903 -36.558624 0  -2.245962 0 0.532315  2.550806e-06
1890 1 1.000000  -23.595218 29.368999 0  -0.209424 -12.207556 0  -1.035193 0 0.641556  6.881365e-06
1890 1 1.000000  11.416249 -4.336178 0  2.136419 -24.447145 0  3.134046 0 0.264499  3.878477e-06
541 1 1.000000  33.636749 41.007435 0  -1.549254 -5.027975 0  0.015940 0 1.053670  7.823491e-06
1308 1 1.000000  -30.287288 -20.938110 0  0.706333 -39.300905 0  1.713529 0 0.325773  3.108312e-06
541 1 1.000000  39.691464 -2.290693 0  -0.223768 -21.601550 0  -1.344167 0 0.580672  3.916333e-06
1308 1 1.000000  -36.264129 -42.927391 0  1.296821 -51.656633 0  -4.984707 0 0.543165  6.664893e-07
541 1 1.000000  44.420462 45.817956 0  -1.319835 -0.265134 0  -0.727250 0 0.711258  8.577632e-06
541 1 1.000000  29.212791 -0.267903 0  -1.688039 -24.208271 0  -4.471469 0 0.607455  3.887057e-06
