pi,ti,ci,zi,ni,div,div2,pos_min,min_ac,1st_min
0,9,1,0,2,0.16261722610792817,0.20075815176489029,0.9915254237288136,0.9193804429888661,0.4957627118644068
0,9,1,0,3,0.0750375662384598,0.028579967089269843,0.773109243697479,0.9709938819582424,0.10084033613445378
0,9,1,1,0,0.12270591071185732,0.13314808732781508,0.9916666666666667,0.9391583192720374,0.49583333333333335
0,9,1,1,1,0.18647854687578225,0.012825508155725217,0.3879310344827586,0.9638295922008181,0.1939655172413793
0,9,1,1,2,0.16050070743585065,0.19923983351887484,0.9915254237288136,0.9204297340254469,0.4957627118644068
0,9,1,1,3,0.06863029628773584,0.02754876335723726,0.7899159663865546,0.9728939165922388,0.10084033613445378
0,9,1,2,0,0.10665352397880225,0.11953845619316993,0.9916666666666667,0.9471176276938439,0.49583333333333335
0,9,1,2,1,0.1588264257871344,0.011237277515816843,0.3879310344827586,0.9691931501705989,0.1939655172413793
0,9,1,2,2,0.16262713823900038,0.20231729926011252,0.9915254237288136,0.9193755289238854,0.4957627118644068
0,9,1,2,3,0.060378898856577434,0.02789118734456494,0.7899159663865546,0.9761528718801753,0.1092436974789916
0,10,1,0,0,0.1271638138374609,0.13038177454763755,0.9916666666666667,0.9369479423055923,0.4083333333333333
0,10,1,0,1,0.19627948556183364,0.009518879372407963,0.3793103448275862,0.9627745803244798,0.1896551724137931
0,10,1,0,2,0.15265203735417826,0.18800051459567454,0.9915254237288136,0.9243208119896659,0.4957627118644068
0,10,1,0,3,0.08513904060425133,0.03802526443219857,0.7647058823529411,0.9674468374160216,0.09663865546218488
0,10,1,1,0,0.10902540284556267,0.1195179101248628,0.9916666666666667,0.9459415710890752,0.49583333333333335
0,10,1,1,1,0.17327292544124434,0.008794990193712422,0.3879310344827586,0.9663910273928621,0.1939655172413793
0,10,1,1,2,0.15469001295456758,0.1918258010746083,0.9915254237288136,0.9233104596793034,0.4957627118644068
0,10,1,1,3,0.07728137347895739,0.037108698706487475,0.773109243697479,0.9701265278988904,0.10084033613445378
0,10,1,2,0,0.09275677789171723,0.10487049114273593,0.9916666666666667,0.9540080976286902,0.49583333333333335
0,10,1,2,1,0.145819479433746,0.00740851452971353,0.3879310344827586,0.9717160492477648,0.1939655172413793
0,10,1,2,2,0.15543346079684064,0.19277857073531685,0.9915254237288136,0.9229418859608883,0.4957627118644068
0,10,1,2,3,0.06407119356786778,0.03631753326652363,0.7899159663865546,0.9746945706076489,0.1092436974789916
0,11,1,0,0,0.12203131733479369,0.12505745011214378,0.9916666666666667,0.9394928051548315,0.4125
0,11,1,0,1,0.19427349185231788,0.008992174129957753,0.39655172413793105,0.9614802559258335,0.19827586206896552
0,11,1,0,2,0.14817894810330015,0.17845628192807247,0.9745762711864406,0.9277941566445783,0.4872881355932203
0,11,1,0,3,0.09531446631800687,0.04915515991569911,0.7815126050420168,0.9627552715648124,0.09243697478991597
0,11,1,1,0,0.10457691396067204,0.1137188649558651,0.9916666666666667,0.9481472801611668,0.49583333333333335
0,11,1,1,1,0.17695887399417165,0.00820640848587975,0.3879310344827586,0.9656760804752684,0.1939655172413793
0,11,1,1,2,0.1476538020835801,0.18221647953572545,0.9915254237288136,0.9267987506619539,0.4957627118644068
0,11,1,1,3,0.08627621561706089,0.04715313857119729,0.7899159663865546,0.9659245198823373,0.10084033613445378
0,11,1,2,0,0.08789580157285484,0.09930006316991608,0.9916666666666667,0.9564183317201261,0.49583333333333335
0,11,1,2,1,0.14456404695265535,0.006249890377543367,0.39655172413793105,0.9713364389662839,0.19827586206896552
0,11,1,2,2,0.1499951198062531,0.18519771016870487,0.9915254237288136,0.9256380126384254,0.4957627118644068
0,11,1,2,3,0.07290284660976779,0.04654626816965408,0.8067226890756303,0.97059380977085,0.1134453781512605
0,12,1,0,0,0.11632122157001952,0.11653148245320512,0.9916666666666667,0.942324060971532,0.4125
0,12,1,0,1,0.1946945486949646,0.009638453503095017,0.39655172413793105,0.9613967705173777,0.19827586206896552
0,12,1,0,2,0.14006297273966495,0.16920395339255345,0.9830508474576272,0.9311554879754189,0.4915254237288136
0,12,1,0,3,0.10176755113174395,0.06069826596326433,0.7983193277310925,0.9593784984978333,0.10084033613445378
0,12,1,1,0,0.10132932998019925,0.10822835849502066,0.9916666666666667,0.9497575405514845,0.49583333333333335
0,12,1,1,1,0.1817982719474002,0.008632675546769357,0.3879310344827586,0.9647374041481336,0.1939655172413793
0,12,1,1,2,0.1383179502320689,0.16957464300158462,0.9915254237288136,0.9314271178934235,0.4957627118644068
0,12,1,1,3,0.09862675406464395,0.05946448578604657,0.7899159663865546,0.9610465761257289,0.09663865546218488
0,12,1,2,0,0.08428085905833024,0.09382151149606482,0.9916666666666667,0.9582107407169113,0.49583333333333335
0,12,1,2,1,0.149384409474193,0.006295314291794943,0.3793103448275862,0.9716684740652393,0.1896551724137931
