pi,ti,zi,ni,n1,n2,ns1,ns2,Nsecs,xpos
1,3,0,1,275,0,0,1,1,0,274
1,3,0,2,277,0,0,1,1,0,276
1,4,0,0,287,0,0,1,1,0,286
1,4,0,1,275,0,0,1,1,0,274
1,4,0,2,277,0,0,1,1,0,276
1,5,0,0,287,0,0,1,1,0,286
1,5,0,1,275,0,0,1,1,0,274
1,5,0,2,277,0,0,1,1,0,276
1,6,0,0,287,0,0,1,1,0,286
1,6,0,1,275,0,0,1,1,0,274
1,6,0,2,277,0,0,1,1,0,276
1,7,0,0,287,0,0,1,1,0,286
1,7,0,1,275,0,0,1,1,0,274
1,7,0,2,277,0,0,1,1,0,276
1,8,0,0,287,0,0,1,1,0,286
1,8,0,1,275,0,0,1,1,0,274
1,8,0,2,277,0,0,1,1,0,276
1,9,0,0,287,0,0,1,1,0,286
1,9,0,1,275,0,0,1,1,0,274
1,9,0,2,277,0,0,1,1,0,276
1,10,0,0,287,0,0,1,1,0,286
1,10,0,1,275,0,0,1,1,0,274
1,10,0,2,277,0,0,1,1,0,276
1,11,0,0,287,0,0,1,1,0,286
1,11,0,1,275,0,0,1,1,0,274
1,11,0,2,277,0,0,1,1,0,276
1,12,0,0,287,0,0,1,1,0,286
1,12,0,1,275,0,0,1,1,0,274
1,12,0,2,277,0,0,1,1,0,276
1,13,0,0,287,0,0,1,1,0,286
1,13,0,1,275,0,0,1,1,0,274
1,13,0,2,277,0,0,1,1,0,276
1,14,0,0,287,0,0,1,1,0,286
1,14,0,1,275,0,0,1,1,0,274
1,14,0,2,277,0,0,1,1,0,276
1,15,0,0,287,0,0,1,1,0,286
1,15,0,1,275,0,0,1,1,0,274
1,15,0,2,277,0,0,1,1,0,276
1,16,0,0,287,0,0,1,1,0,286
1,16,0,1,275,0,0,1,1,0,274
1,16,0,2,277,0,0,1,1,0,276
1,17,0,0,287,0,0,1,1,0,286
1,17,0,1,275,0,0,1,1,0,274
1,17,0,2,277,0,0,1,1,0,276
1,18,0,0,287,0,0,1,1,0,286
1,18,0,1,275,0,0,1,1,0,274
1,18,0,2,277,0,0,1,1,0,276
1,19,0,0,287,0,0,1,1,0,286
1,19,0,1,275,0,0,1,1,0,274
1,19,0,2,277,0,0,1,1,0,276
1,20,0,0,287,0,0,1,1,0,286
1,20,0,1,275,0,0,1,1,0,274
1,20,0,2,277,0,0,1,1,0,276
1,21,0,0,287,0,0,1,1,0,286
1,21,0,1,275,0,0,1,1,0,274
1,21,0,2,277,0,0,1,1,0,276
1,22,0,0,287,0,0,1,1,0,286
1,22,0,1,275,0,0,1,1,0,274
1,22,0,2,277,0,0,1,1,0,276
1,23,0,0,287,0,0,1,1,0,286
1,23,0,1,275,0,0,1,1,0,274
1,23,0,2,277,0,0,1,1,0,276
1,24,0,0,287,0,0,1,1,0,286
